 Fitting the PES based on the embedded atom neural network
 Based on the idea of embeeding atomic method
 done: readinput
 done: allocate_all
 done: get_index
 1   84   84
 1 7736  | 7736
 done: readcoor
 the total parameter: allnw=        6150
 the total wave parameter: wave_allnw=         297
 number of configurations used for training        6963
 number of AtNN           1
 number of neuron of output layer           1
        1.00000000       10.00000000
 maximal angular moment L           2
 number of GTO-type radial function    10    10    10
      9    84   252  7736
 Ru      33   30   30    1
 C       33   30   30    1
 O       33   30   30    1
 2025/10/20  12:02:06.34
 Epoch     44/   200; Mu= 1.E-02; Perform= 5.724E+00 2.584E+01 / 8.555E+00 4.061E+01 meV; Val= 0/15
 Epoch     45/   200; Mu= 1.E-02; Perform= 5.715E+00 2.567E+01 / 8.897E+00 4.053E+01 meV; Val= 1/15
 Epoch     46/   200; Mu= 1.E-02; Perform= 5.675E+00 2.544E+01 / 8.873E+00 4.021E+01 meV; Val= 0/15
 Epoch     47/   200; Mu= 1.E-02; Perform= 5.664E+00 2.527E+01 / 9.022E+00 4.054E+01 meV; Val= 1/15
 Epoch     48/   200; Mu= 1.E-02; Perform= 5.632E+00 2.509E+01 / 9.149E+00 4.022E+01 meV; Val= 2/15
 Epoch     49/   200; Mu= 1.E-02; Perform= 5.619E+00 2.491E+01 / 9.093E+00 4.078E+01 meV; Val= 0/15
 Epoch     50/   200; Mu= 1.E-02; Perform= 5.592E+00 2.477E+01 / 9.272E+00 4.053E+01 meV; Val= 1/15
 Epoch     51/   200; Mu= 1.E-02; Perform= 5.577E+00 2.460E+01 / 9.204E+00 4.120E+01 meV; Val= 0/15
 Epoch     52/   200; Mu= 1.E-03; Perform= 5.569E+00 2.485E+01 / 9.527E+00 4.289E+01 meV; Val= 1/15
 Epoch     53/   200; Mu= 1.E-03; Perform= 5.517E+00 2.411E+01 / 8.864E+00 4.297E+01 meV; Val= 0/15
 Epoch     54/   200; Mu= 1.E-03; Perform= 5.438E+00 2.376E+01 / 9.508E+00 4.389E+01 meV; Val= 1/15
