 Fitting the PES based on the embedded atom neural network
 Based on the idea of embeeding atomic method
 done: readinput
 done: allocate_all
 done: get_index
 1   84   84
 1 7685  | 7685
 done: readcoor
 the total parameter: allnw=        6150
 the total wave parameter: wave_allnw=         297
 number of configurations used for training        6916
 number of AtNN           1
 number of neuron of output layer           1
        1.00000000       10.00000000
 maximal angular moment L           2
 number of GTO-type radial function    10    10    10
      9    84   252  7685
 Ru      33   30   30    1
 C       33   30   30    1
 O       33   30   30    1
 2025/10/17  21:16:20.09
 Epoch     44/   200; Mu= 1.E-02; Perform= 5.774E+00 2.593E+01 / 7.949E+00 3.932E+01 meV; Val= 0/15
 Epoch     45/   200; Mu= 1.E-02; Perform= 5.741E+00 2.567E+01 / 7.915E+00 3.923E+01 meV; Val= 0/15
 Epoch     46/   200; Mu= 1.E-02; Perform= 5.711E+00 2.542E+01 / 7.896E+00 3.930E+01 meV; Val= 0/15
 Epoch     47/   200; Mu= 1.E-02; Perform= 5.683E+00 2.517E+01 / 7.893E+00 3.947E+01 meV; Val= 0/15
 Epoch     48/   200; Mu= 1.E-02; Perform= 5.657E+00 2.495E+01 / 7.904E+00 3.969E+01 meV; Val= 1/15
 Epoch     49/   200; Mu= 1.E-02; Perform= 5.633E+00 2.473E+01 / 7.926E+00 3.998E+01 meV; Val= 2/15
 Epoch     50/   200; Mu= 1.E-02; Perform= 5.611E+00 2.453E+01 / 7.960E+00 4.038E+01 meV; Val= 3/15
 Epoch     51/   200; Mu= 1.E-02; Perform= 5.591E+00 2.434E+01 / 8.007E+00 4.091E+01 meV; Val= 4/15
 Epoch     52/   200; Mu= 1.E-02; Perform= 5.572E+00 2.415E+01 / 8.065E+00 4.155E+01 meV; Val= 5/15
 Epoch     53/   200; Mu= 1.E-02; Perform= 5.554E+00 2.397E+01 / 8.129E+00 4.227E+01 meV; Val= 6/15
 Epoch     54/   200; Mu= 1.E-02; Perform= 5.537E+00 2.381E+01 / 8.195E+00 4.304E+01 meV; Val= 7/15
 Epoch     55/   200; Mu= 1.E-02; Perform= 5.521E+00 2.365E+01 / 8.257E+00 4.378E+01 meV; Val= 8/15
 Epoch     56/   200; Mu= 1.E-02; Perform= 5.505E+00 2.350E+01 / 8.309E+00 4.445E+01 meV; Val= 9/15
 Epoch     57/   200; Mu= 1.E-02; Perform= 5.490E+00 2.337E+01 / 8.347E+00 4.500E+01 meV; Val=10/15
 Epoch     58/   200; Mu= 1.E-02; Perform= 5.475E+00 2.324E+01 / 8.370E+00 4.540E+01 meV; Val=11/15
 Epoch     59/   200; Mu= 1.E-02; Perform= 5.461E+00 2.312E+01 / 8.378E+00 4.566E+01 meV; Val=12/15
 Epoch     60/   200; Mu= 1.E-02; Perform= 5.448E+00 2.301E+01 / 8.375E+00 4.577E+01 meV; Val= 0/15
 Epoch     61/   200; Mu= 1.E-02; Perform= 5.435E+00 2.291E+01 / 8.363E+00 4.578E+01 meV; Val= 0/15
 Epoch     62/   200; Mu= 1.E-02; Perform= 5.423E+00 2.281E+01 / 8.347E+00 4.573E+01 meV; Val= 0/15
 Epoch     63/   200; Mu= 1.E-02; Perform= 5.412E+00 2.272E+01 / 8.329E+00 4.565E+01 meV; Val= 0/15
 Epoch     64/   200; Mu= 1.E-02; Perform= 5.401E+00 2.264E+01 / 8.311E+00 4.557E+01 meV; Val= 0/15
 Epoch     65/   200; Mu= 1.E-02; Perform= 5.391E+00 2.256E+01 / 8.295E+00 4.552E+01 meV; Val= 0/15
 Epoch     66/   200; Mu= 1.E-02; Perform= 5.381E+00 2.249E+01 / 8.281E+00 4.550E+01 meV; Val= 0/15
 Epoch     67/   200; Mu= 1.E-02; Perform= 5.372E+00 2.242E+01 / 8.271E+00 4.553E+01 meV; Val= 0/15
 Epoch     68/   200; Mu= 1.E-02; Perform= 5.363E+00 2.235E+01 / 8.263E+00 4.559E+01 meV; Val= 0/15
 Epoch     69/   200; Mu= 1.E-02; Perform= 5.354E+00 2.229E+01 / 8.257E+00 4.569E+01 meV; Val= 0/15
 Epoch     70/   200; Mu= 1.E-02; Perform= 5.345E+00 2.223E+01 / 8.251E+00 4.582E+01 meV; Val= 0/15
 Epoch     71/   200; Mu= 1.E-02; Perform= 5.337E+00 2.218E+01 / 8.247E+00 4.599E+01 meV; Val= 0/15
 Epoch     72/   200; Mu= 1.E-02; Perform= 5.329E+00 2.213E+01 / 8.244E+00 4.619E+01 meV; Val= 0/15
 Epoch     73/   200; Mu= 1.E-02; Perform= 5.321E+00 2.208E+01 / 8.243E+00 4.642E+01 meV; Val= 0/15
 Epoch     74/   200; Mu= 1.E-02; Perform= 5.314E+00 2.203E+01 / 8.243E+00 4.669E+01 meV; Val= 1/15
 Epoch     75/   200; Mu= 1.E-02; Perform= 5.307E+00 2.198E+01 / 8.246E+00 4.699E+01 meV; Val= 2/15
 Epoch     76/   200; Mu= 1.E-02; Perform= 5.299E+00 2.193E+01 / 8.253E+00 4.734E+01 meV; Val= 3/15
 Epoch     77/   200; Mu= 1.E-02; Perform= 5.292E+00 2.189E+01 / 8.263E+00 4.774E+01 meV; Val= 4/15
 Epoch     78/   200; Mu= 1.E-02; Perform= 5.285E+00 2.184E+01 / 8.278E+00 4.817E+01 meV; Val= 5/15
 Epoch     79/   200; Mu= 1.E-02; Perform= 5.278E+00 2.179E+01 / 8.296E+00 4.864E+01 meV; Val= 6/15
 Epoch     80/   200; Mu= 1.E-02; Perform= 5.271E+00 2.175E+01 / 8.316E+00 4.911E+01 meV; Val= 7/15
 Epoch     81/   200; Mu= 1.E-02; Perform= 5.265E+00 2.170E+01 / 8.338E+00 4.958E+01 meV; Val= 8/15
 Epoch     82/   200; Mu= 1.E-02; Perform= 5.258E+00 2.166E+01 / 8.359E+00 5.003E+01 meV; Val= 9/15
 Epoch     83/   200; Mu= 1.E-02; Perform= 5.252E+00 2.162E+01 / 8.379E+00 5.045E+01 meV; Val=10/15
 Epoch     84/   200; Mu= 1.E-02; Perform= 5.246E+00 2.157E+01 / 8.397E+00 5.085E+01 meV; Val=11/15
 Epoch     85/   200; Mu= 1.E-02; Perform= 5.240E+00 2.153E+01 / 8.414E+00 5.123E+01 meV; Val=12/15
 Epoch     86/   200; Mu= 1.E-02; Perform= 5.235E+00 2.149E+01 / 8.428E+00 5.158E+01 meV; Val=13/15
 Epoch     87/   200; Mu= 1.E-02; Perform= 5.230E+00 2.145E+01 / 8.440E+00 5.191E+01 meV; Val=14/15
