 Fitting the PES based on the embedded atom neural network
 Based on the idea of embeeding atomic method
 done: readinput
 done: allocate_all
 done: get_index
 1   84   84
 1 7685  | 7685
 done: readcoor
 the total parameter: allnw=        6150
 the total wave parameter: wave_allnw=         297
 number of configurations used for training        6916
 number of AtNN           1
 number of neuron of output layer           1
        1.00000000       10.00000000
 maximal angular moment L           2
 number of GTO-type radial function    10    10    10
      9    84   252  7685
 Ru      33   30   30    1
 C       33   30   30    1
 O       33   30   30    1
 2025/10/17  21:13:48.44
 Epoch     44/   200; Mu= 1.E-01; Perform= 6.337E+00 3.011E+01 / 8.135E+00 5.283E+01 meV; Val=10/15
 Epoch     45/   200; Mu= 1.E-01; Perform= 6.313E+00 2.994E+01 / 8.143E+00 5.299E+01 meV; Val=11/15
 Epoch     46/   200; Mu= 1.E-01; Perform= 6.289E+00 2.978E+01 / 8.148E+00 5.317E+01 meV; Val=12/15
 Epoch     47/   200; Mu= 1.E-01; Perform= 6.266E+00 2.962E+01 / 8.153E+00 5.336E+01 meV; Val=13/15
 Epoch     48/   200; Mu= 1.E-01; Perform= 6.245E+00 2.948E+01 / 8.156E+00 5.358E+01 meV; Val=14/15
 Epoch     49/   200; Mu= 1.E-01; Perform= 6.225E+00 2.934E+01 / 8.158E+00 5.382E+01 meV; Val=15/15
 Total rmse_01=  34.8928 meV; Total force rmse_=  32.3516 meV/angstrom; train=  32.5588; validation=  51.3164force train=  31.7757; force validation=  37.1320
 2025/10/18  00:19:10.49
 2025/10/18  00:19:10.49
 Epoch      1/   200; Mu= 1.E-02; Perform= 2.067E+01 1.437E+02 / 2.098E+01 1.456E+02 meV; Val= 0/15
 Epoch      2/   200; Mu= 1.E-02; Perform= 1.955E+01 1.338E+02 / 1.969E+01 1.371E+02 meV; Val= 0/15
 Epoch      3/   200; Mu= 1.E-01; Perform= 1.775E+01 1.119E+02 / 1.849E+01 1.120E+02 meV; Val= 0/15
 Epoch      4/   200; Mu= 1.E-01; Perform= 1.679E+01 1.011E+02 / 1.696E+01 1.056E+02 meV; Val= 0/15
