./US/US-1 1.60202 184.484
./US/US-2 1.65202 184.484
./US/US-3 1.70202 184.484
./US/US-4 1.75202 184.484
./US/US-5 1.80202 184.484
./US/US-6 1.85202 184.484
./US/US-7 1.90202 184.484
./US/US-8 1.95202 184.484
./US/US-9 2.00202 184.484
./US/US-10 2.05202 184.484
./US/US-11 2.10202 184.484
./US/US-12 2.15202 184.484
./US/US-13 2.20202 184.484
./US/US-14 2.25202 184.484
./US/US-15 2.30202 184.484
./US/US-16 2.35202 184.484
./US/US-17 2.40202 184.484
./US/US-18 2.45202 184.484
./US/US-19 2.50202 184.484
./US/US-20 2.55202 184.484
./US/US-21 2.60202 184.484
./US/US-22 2.65202 184.484
./US/US-23 2.70202 184.484
./US/US-24 2.75202 184.484
./US/US-25 2.80202 184.484
./US/US-26 2.85202 184.484
./US/US-27 2.90202 184.484
./US/US-28 2.95202 184.484
./US/US-29 3.00202 184.484
./US/US-30 3.05202 184.484
./US/US-31 3.10202 184.484
./US/US-32 3.15202 184.484
./US/US-33 3.20202 184.484
./US/US-34 3.25202 184.484
./US/US-35 3.30202 184.484
./US/US-36 3.35202 184.484
./US/US-37 3.40202 184.484
./US/US-38 3.45202 184.484
./US/US-39 3.50202 184.484
./US/US-40 3.55202 184.484
./US/US-41 3.60202 184.484
./US/US-42 3.65202 184.484
./US/US-43 3.70202 184.484
./US/US-44 3.75202 184.484
./US/US-45 3.80202 184.484
./US/US-46 3.85202 184.484
./US/US-47 3.90202 184.484
./US/US-48 3.95202 184.484
./US/US-49 4.00202 184.484
./US/US-50 4.05202 184.484
./US/US-51 4.10202 184.484
./US/US-52 4.15202 184.484
./US/US-53 4.20202 184.484
./US/US-54 4.25202 184.484
./US/US-55 4.30202 184.484
./US/US-56 4.35202 184.484
./US/US-57 4.40202 184.484
./US/US-58 4.45202 184.484
./US/US-59 4.50202 184.484
./US/US-60 4.55202 184.484
./US/US-61 4.60202 184.484
./US/US-62 4.65202 184.484
./US/US-63 4.70202 184.484
./US/US-64 4.75202 184.484
