 Fitting the PES based on the embedded atom neural network
 Based on the idea of embeeding atomic method
 done: readinput
 done: allocate_all
 done: get_index
 1   84   84
 1 7685  | 7685
 done: readcoor
 the total parameter: allnw=        6150
 the total wave parameter: wave_allnw=         297
 number of configurations used for training        6916
 number of AtNN           1
 number of neuron of output layer           1
        1.00000000       10.00000000
 maximal angular moment L           2
 number of GTO-type radial function    10    10    10
      9    84   252  7685
 Ru      33   30   30    1
 C       33   30   30    1
 O       33   30   30    1
 2025/10/17  21:14:21.99
 Epoch     44/   200; Mu= 1.E-02; Perform= 5.617E+00 2.514E+01 / 9.694E+00 4.827E+01 meV; Val= 0/15
 Epoch     45/   200; Mu= 1.E-02; Perform= 5.589E+00 2.492E+01 / 9.738E+00 4.800E+01 meV; Val= 1/15
 Epoch     46/   200; Mu= 1.E-02; Perform= 5.563E+00 2.470E+01 / 9.803E+00 4.794E+01 meV; Val= 2/15
 Epoch     47/   200; Mu= 1.E-02; Perform= 5.539E+00 2.451E+01 / 9.886E+00 4.795E+01 meV; Val= 3/15
 Epoch     48/   200; Mu= 1.E-02; Perform= 5.518E+00 2.433E+01 / 9.968E+00 4.804E+01 meV; Val= 4/15
 Epoch     49/   200; Mu= 1.E-02; Perform= 5.497E+00 2.415E+01 / 1.005E+01 4.815E+01 meV; Val= 5/15
 Epoch     50/   200; Mu= 1.E-02; Perform= 5.477E+00 2.399E+01 / 1.012E+01 4.831E+01 meV; Val= 6/15
 Epoch     51/   200; Mu= 1.E-02; Perform= 5.458E+00 2.383E+01 / 1.018E+01 4.851E+01 meV; Val= 7/15
 Epoch     52/   200; Mu= 1.E-02; Perform= 5.439E+00 2.367E+01 / 1.024E+01 4.879E+01 meV; Val= 8/15
 Epoch     53/   200; Mu= 1.E-02; Perform= 5.421E+00 2.352E+01 / 1.030E+01 4.912E+01 meV; Val= 9/15
 Epoch     54/   200; Mu= 1.E-02; Perform= 5.404E+00 2.338E+01 / 1.036E+01 4.953E+01 meV; Val=10/15
 Epoch     55/   200; Mu= 1.E-02; Perform= 5.387E+00 2.326E+01 / 1.041E+01 4.998E+01 meV; Val=11/15
 Epoch     56/   200; Mu= 1.E-02; Perform= 5.371E+00 2.314E+01 / 1.047E+01 5.044E+01 meV; Val=12/15
 Epoch     57/   200; Mu= 1.E-02; Perform= 5.356E+00 2.304E+01 / 1.052E+01 5.087E+01 meV; Val=13/15
 Epoch     58/   200; Mu= 1.E-02; Perform= 5.342E+00 2.294E+01 / 1.057E+01 5.124E+01 meV; Val=14/15
