 Fitting the PES based on the embedded atom neural network
 Based on the idea of embeeding atomic method
 done: readinput
 done: allocate_all
 done: get_index
 1   82   82
 111000  |11000
 done: readcoor
 the total parameter: allnw=        6150
 the total wave parameter: wave_allnw=         297
 number of configurations used for training        9900
 number of AtNN           1
 number of neuron of output layer           1
        1.00000000       10.00000000
 maximal angular moment L           2
 number of GTO-type radial function    10    10    10
      9    82   246 11000
 Ru      33   30   30    1
 C       33   30   30    1
 O       33   30   30    1
 2025/07/26  18:29:06.88
 Epoch     11/   200; Mu= 1.E-02; Perform= 5.001E+00 2.172E+01 / 5.012E+00 2.301E+01 meV; Val= 0/15
 Epoch     12/   200; Mu= 1.E-02; Perform= 4.858E+00 2.070E+01 / 4.883E+00 2.222E+01 meV; Val= 0/15
 Epoch     13/   200; Mu= 1.E-02; Perform= 4.654E+00 1.903E+01 / 4.761E+00 2.123E+01 meV; Val= 0/15
 Epoch     14/   200; Mu= 1.E-01; Perform= 4.530E+00 1.789E+01 / 4.669E+00 2.035E+01 meV; Val= 0/15
 Epoch     15/   200; Mu= 1.E-02; Perform= 4.473E+00 1.759E+01 / 4.665E+00 2.028E+01 meV; Val= 0/15
 Epoch     16/   200; Mu= 1.E-02; Perform= 4.409E+00 1.710E+01 / 4.604E+00 2.026E+01 meV; Val= 0/15
 Epoch     17/   200; Mu= 1.E-02; Perform= 4.342E+00 1.655E+01 / 4.564E+00 1.948E+01 meV; Val= 0/15
 Epoch     18/   200; Mu= 1.E-02; Perform= 4.297E+00 1.622E+01 / 4.534E+00 1.914E+01 meV; Val= 0/15
 Epoch     19/   200; Mu= 1.E-02; Perform= 4.260E+00 1.602E+01 / 4.517E+00 1.893E+01 meV; Val= 0/15
 Epoch     20/   200; Mu= 1.E-01; Perform= 4.246E+00 1.586E+01 / 4.516E+00 1.893E+01 meV; Val= 0/15
 Epoch     21/   200; Mu= 1.E-02; Perform= 4.225E+00 1.575E+01 / 4.511E+00 1.875E+01 meV; Val= 0/15
