 Fitting the PES based on the embedded atom neural network
 Based on the idea of embeeding atomic method
 done: readinput
 done: allocate_all
 done: get_index
 1   82   82
 111000  |11000
 done: readcoor
 the total parameter: allnw=        6150
 the total wave parameter: wave_allnw=         297
 number of configurations used for training        9900
 number of AtNN           1
 number of neuron of output layer           1
        1.00000000       10.00000000
 maximal angular moment L           2
 number of GTO-type radial function    10    10    10
      9    82   246 11000
 Ru      33   30   30    1
 C       33   30   30    1
 O       33   30   30    1
 2025/07/26  18:32:31.94
 Epoch      1/   200; Mu= 1.E-02; Perform= 1.737E+01 1.185E+02 / 1.738E+01 1.121E+02 meV; Val= 0/15
 Epoch      2/   200; Mu= 1.E-02; Perform= 1.622E+01 1.058E+02 / 1.697E+01 1.014E+02 meV; Val= 0/15
 Epoch      3/   200; Mu= 1.E-02; Perform= 1.572E+01 8.920E+01 / 1.609E+01 9.058E+01 meV; Val= 0/15
 Epoch      4/   200; Mu= 1.E-02; Perform= 1.413E+01 9.155E+01 / 1.345E+01 8.393E+01 meV; Val= 0/15
 Epoch      5/   200; Mu= 1.E-02; Perform= 1.230E+01 8.281E+01 / 1.201E+01 7.494E+01 meV; Val= 0/15
 Epoch      6/   200; Mu= 1.E-01; Perform= 7.489E+00 4.089E+01 / 7.250E+00 4.297E+01 meV; Val= 0/15
 Epoch      7/   200; Mu= 1.E-01; Perform= 6.107E+00 2.969E+01 / 5.835E+00 3.128E+01 meV; Val= 0/15
 Epoch      8/   200; Mu= 1.E-01; Perform= 5.637E+00 2.584E+01 / 5.403E+00 2.881E+01 meV; Val= 0/15
 Epoch      9/   200; Mu= 1.E-01; Perform= 5.331E+00 2.300E+01 / 5.098E+00 2.738E+01 meV; Val= 0/15
 Epoch     10/   200; Mu= 1.E-01; Perform= 5.221E+00 2.200E+01 / 5.029E+00 2.625E+01 meV; Val= 0/15
 Epoch     11/   200; Mu= 1.E-01; Perform= 5.157E+00 2.149E+01 / 4.963E+00 2.594E+01 meV; Val= 0/15
 Epoch     12/   200; Mu= 1.E-01; Perform= 5.092E+00 2.115E+01 / 4.934E+00 2.557E+01 meV; Val= 0/15
 Epoch     13/   200; Mu= 1.E-01; Perform= 5.039E+00 2.082E+01 / 4.901E+00 2.527E+01 meV; Val= 0/15
 Epoch     14/   200; Mu= 1.E-01; Perform= 4.988E+00 2.064E+01 / 4.869E+00 2.502E+01 meV; Val= 0/15
 Epoch     15/   200; Mu= 1.E-01; Perform= 4.940E+00 2.043E+01 / 4.833E+00 2.478E+01 meV; Val= 0/15
 Epoch     16/   200; Mu= 1.E-01; Perform= 4.899E+00 2.022E+01 / 4.799E+00 2.454E+01 meV; Val= 0/15
 Epoch     17/   200; Mu= 1.E-01; Perform= 4.866E+00 1.998E+01 / 4.771E+00 2.431E+01 meV; Val= 0/15
 Epoch     18/   200; Mu= 1.E-01; Perform= 4.837E+00 1.976E+01 / 4.747E+00 2.406E+01 meV; Val= 0/15
 Epoch     19/   200; Mu= 1.E-01; Perform= 4.810E+00 1.954E+01 / 4.727E+00 2.381E+01 meV; Val= 0/15
 Epoch     20/   200; Mu= 1.E-01; Perform= 4.785E+00 1.934E+01 / 4.708E+00 2.354E+01 meV; Val= 0/15
 Epoch     21/   200; Mu= 1.E-01; Perform= 4.762E+00 1.915E+01 / 4.691E+00 2.328E+01 meV; Val= 0/15
