 Fitting the PES based on the embedded atom neural network
 Based on the idea of embeeding atomic method
 done: readinput
 done: allocate_all
 done: get_index
 1   82   82
 111000  |11000
 done: readcoor
 the total parameter: allnw=        6150
 the total wave parameter: wave_allnw=         297
 number of configurations used for training        9900
 number of AtNN           1
 number of neuron of output layer           1
        1.00000000       10.00000000
 maximal angular moment L           2
 number of GTO-type radial function    10    10    10
      9    82   246 11000
 Ru      33   30   30    1
 C       33   30   30    1
 O       33   30   30    1
 2025/07/26  18:25:37.63
 Epoch     10/   200; Mu= 1.E-01; Perform= 5.126E+00 2.145E+01 / 5.684E+00 2.809E+01 meV; Val= 0/15
 Epoch     11/   200; Mu= 1.E-01; Perform= 5.071E+00 2.104E+01 / 5.678E+00 2.758E+01 meV; Val= 0/15
 Epoch     12/   200; Mu= 1.E-01; Perform= 5.019E+00 2.066E+01 / 5.678E+00 2.710E+01 meV; Val= 0/15
 Epoch     13/   200; Mu= 1.E-01; Perform= 4.966E+00 2.033E+01 / 5.690E+00 2.680E+01 meV; Val= 1/15
 Epoch     14/   200; Mu= 1.E-01; Perform= 4.910E+00 2.008E+01 / 5.720E+00 2.666E+01 meV; Val= 2/15
 Epoch     15/   200; Mu= 1.E-01; Perform= 4.856E+00 1.988E+01 / 5.761E+00 2.670E+01 meV; Val= 3/15
 Epoch     16/   200; Mu= 1.E-01; Perform= 4.807E+00 1.967E+01 / 5.775E+00 2.679E+01 meV; Val= 4/15
 Epoch     17/   200; Mu= 1.E-01; Perform= 4.768E+00 1.943E+01 / 5.757E+00 2.679E+01 meV; Val= 0/15
 Epoch     18/   200; Mu= 1.E-01; Perform= 4.736E+00 1.919E+01 / 5.718E+00 2.675E+01 meV; Val= 0/15
 Epoch     19/   200; Mu= 1.E-01; Perform= 4.709E+00 1.898E+01 / 5.681E+00 2.673E+01 meV; Val= 0/15
 Epoch     20/   200; Mu= 1.E-01; Perform= 4.685E+00 1.879E+01 / 5.651E+00 2.672E+01 meV; Val= 0/15
 Epoch     21/   200; Mu= 1.E-01; Perform= 4.663E+00 1.861E+01 / 5.624E+00 2.668E+01 meV; Val= 0/15
 Epoch     22/   200; Mu= 1.E-01; Perform= 4.643E+00 1.845E+01 / 5.601E+00 2.662E+01 meV; Val= 0/15
 Epoch     23/   200; Mu= 1.E-01; Perform= 4.624E+00 1.831E+01 / 5.579E+00 2.653E+01 meV; Val= 0/15
 Epoch     24/   200; Mu= 1.E-01; Perform= 4.606E+00 1.817E+01 / 5.557E+00 2.642E+01 meV; Val= 0/15
 Epoch     25/   200; Mu= 1.E-01; Perform= 4.589E+00 1.804E+01 / 5.533E+00 2.628E+01 meV; Val= 0/15
 Epoch     26/   200; Mu= 1.E-01; Perform= 4.573E+00 1.792E+01 / 5.503E+00 2.611E+01 meV; Val= 0/15
 Epoch     27/   200; Mu= 1.E-01; Perform= 4.557E+00 1.781E+01 / 5.469E+00 2.592E+01 meV; Val= 0/15
 Epoch     28/   200; Mu= 1.E-01; Perform= 4.542E+00 1.770E+01 / 5.430E+00 2.570E+01 meV; Val= 0/15
 Epoch     29/   200; Mu= 1.E-01; Perform= 4.527E+00 1.760E+01 / 5.391E+00 2.548E+01 meV; Val= 0/15
 Epoch     30/   200; Mu= 1.E-01; Perform= 4.513E+00 1.751E+01 / 5.353E+00 2.526E+01 meV; Val= 0/15
 Epoch     31/   200; Mu= 1.E-01; Perform= 4.499E+00 1.742E+01 / 5.321E+00 2.507E+01 meV; Val= 0/15
 Epoch     32/   200; Mu= 1.E-01; Perform= 4.486E+00 1.733E+01 / 5.294E+00 2.491E+01 meV; Val= 0/15
 Epoch     33/   200; Mu= 1.E-01; Perform= 4.473E+00 1.725E+01 / 5.274E+00 2.478E+01 meV; Val= 0/15
 Epoch     34/   200; Mu= 1.E-01; Perform= 4.461E+00 1.717E+01 / 5.258E+00 2.465E+01 meV; Val= 0/15
 Epoch     35/   200; Mu= 1.E-01; Perform= 4.449E+00 1.709E+01 / 5.244E+00 2.453E+01 meV; Val= 0/15
 Epoch     36/   200; Mu= 1.E-01; Perform= 4.438E+00 1.701E+01 / 5.230E+00 2.439E+01 meV; Val= 0/15
 Epoch     37/   200; Mu= 1.E-01; Perform= 4.427E+00 1.694E+01 / 5.215E+00 2.424E+01 meV; Val= 0/15
 Epoch     38/   200; Mu= 1.E-01; Perform= 4.416E+00 1.687E+01 / 5.198E+00 2.406E+01 meV; Val= 0/15
 Epoch     39/   200; Mu= 1.E-01; Perform= 4.406E+00 1.681E+01 / 5.180E+00 2.388E+01 meV; Val= 0/15
 Epoch     40/   200; Mu= 1.E-01; Perform= 4.397E+00 1.674E+01 / 5.161E+00 2.368E+01 meV; Val= 0/15
 Epoch     41/   200; Mu= 1.E-01; Perform= 4.387E+00 1.668E+01 / 5.141E+00 2.347E+01 meV; Val= 0/15
 Epoch     42/   200; Mu= 1.E-01; Perform= 4.378E+00 1.661E+01 / 5.120E+00 2.325E+01 meV; Val= 0/15
 Epoch     43/   200; Mu= 1.E-01; Perform= 4.369E+00 1.655E+01 / 5.099E+00 2.304E+01 meV; Val= 0/15
 Epoch     44/   200; Mu= 1.E-01; Perform= 4.361E+00 1.649E+01 / 5.079E+00 2.282E+01 meV; Val= 0/15
 Epoch     45/   200; Mu= 1.E-01; Perform= 4.352E+00 1.644E+01 / 5.058E+00 2.260E+01 meV; Val= 0/15
 Epoch     46/   200; Mu= 1.E-01; Perform= 4.344E+00 1.638E+01 / 5.039E+00 2.239E+01 meV; Val= 0/15
 Epoch     47/   200; Mu= 1.E-01; Perform= 4.336E+00 1.633E+01 / 5.021E+00 2.218E+01 meV; Val= 0/15
 Epoch     48/   200; Mu= 1.E-01; Perform= 4.328E+00 1.628E+01 / 5.006E+00 2.199E+01 meV; Val= 0/15
 Epoch     49/   200; Mu= 1.E-01; Perform= 4.320E+00 1.623E+01 / 4.993E+00 2.181E+01 meV; Val= 0/15
 Epoch     50/   200; Mu= 1.E-01; Perform= 4.312E+00 1.618E+01 / 4.985E+00 2.165E+01 meV; Val= 0/15
 Epoch     51/   200; Mu= 1.E-01; Perform= 4.304E+00 1.613E+01 / 4.982E+00 2.150E+01 meV; Val= 0/15
 Epoch     52/   200; Mu= 1.E-01; Perform= 4.296E+00 1.609E+01 / 4.984E+00 2.137E+01 meV; Val= 1/15
 Epoch     53/   200; Mu= 1.E-01; Perform= 4.288E+00 1.605E+01 / 4.992E+00 2.126E+01 meV; Val= 2/15
 Epoch     54/   200; Mu= 1.E-01; Perform= 4.279E+00 1.601E+01 / 5.005E+00 2.117E+01 meV; Val= 3/15
 Epoch     55/   200; Mu= 1.E-01; Perform= 4.271E+00 1.597E+01 / 5.023E+00 2.110E+01 meV; Val= 4/15
 Epoch     56/   200; Mu= 1.E-01; Perform= 4.263E+00 1.594E+01 / 5.045E+00 2.103E+01 meV; Val= 5/15
 Epoch     57/   200; Mu= 1.E-01; Perform= 4.254E+00 1.590E+01 / 5.069E+00 2.098E+01 meV; Val= 6/15
 Epoch     58/   200; Mu= 1.E-01; Perform= 4.246E+00 1.587E+01 / 5.094E+00 2.094E+01 meV; Val= 7/15
 Epoch     59/   200; Mu= 1.E-01; Perform= 4.238E+00 1.583E+01 / 5.116E+00 2.090E+01 meV; Val= 8/15
 Epoch     60/   200; Mu= 1.E-01; Perform= 4.230E+00 1.580E+01 / 5.136E+00 2.087E+01 meV; Val= 9/15
