 Fitting the PES based on the embedded atom neural network
 Based on the idea of embeeding atomic method
 done: readinput
 done: allocate_all
 done: get_index
 1   82   82
 111000  |11000
 done: readcoor
 the total parameter: allnw=        6150
 the total wave parameter: wave_allnw=         297
 number of configurations used for training        9900
 number of AtNN           1
 number of neuron of output layer           1
        1.00000000       10.00000000
 maximal angular moment L           2
 number of GTO-type radial function    10    10    10
      9    82   246 11000
 Ru      33   30   30    1
 C       33   30   30    1
 O       33   30   30    1
 2025/07/26  18:30:41.74
 Epoch      1/   200; Mu= 1.E-02; Perform= 1.798E+01 1.235E+02 / 1.803E+01 1.418E+02 meV; Val= 0/15
 Epoch      2/   200; Mu= 1.E-02; Perform= 1.524E+01 9.480E+01 / 1.457E+01 1.017E+02 meV; Val= 0/15
 Epoch      3/   200; Mu= 1.E-01; Perform= 1.180E+01 6.985E+01 / 1.271E+01 1.099E+02 meV; Val= 0/15
 Epoch      4/   200; Mu= 1.E-01; Perform= 8.655E+00 5.275E+01 / 8.496E+00 5.855E+01 meV; Val= 0/15
 Epoch      5/   200; Mu= 1.E-01; Perform= 6.688E+00 3.447E+01 / 6.915E+00 4.173E+01 meV; Val= 0/15
 Epoch      6/   200; Mu= 1.E-01; Perform= 5.588E+00 2.531E+01 / 5.797E+00 2.688E+01 meV; Val= 0/15
 Epoch      7/   200; Mu= 1.E-01; Perform= 5.316E+00 2.303E+01 / 5.711E+00 2.361E+01 meV; Val= 0/15
 Epoch      8/   200; Mu= 1.E-01; Perform= 5.184E+00 2.194E+01 / 6.018E+00 2.493E+01 meV; Val= 1/15
 Epoch      9/   200; Mu= 1.E-01; Perform= 5.110E+00 2.125E+01 / 6.133E+00 2.517E+01 meV; Val= 2/15
 Epoch     10/   200; Mu= 1.E-01; Perform= 5.052E+00 2.068E+01 / 6.265E+00 2.484E+01 meV; Val= 3/15
 Epoch     11/   200; Mu= 1.E-01; Perform= 5.005E+00 2.026E+01 / 6.312E+00 2.443E+01 meV; Val= 4/15
 Epoch     12/   200; Mu= 1.E-01; Perform= 4.961E+00 1.989E+01 / 6.333E+00 2.401E+01 meV; Val= 5/15
 Epoch     13/   200; Mu= 1.E-01; Perform= 4.918E+00 1.956E+01 / 6.326E+00 2.337E+01 meV; Val= 0/15
 Epoch     14/   200; Mu= 1.E-01; Perform= 4.874E+00 1.927E+01 / 6.296E+00 2.244E+01 meV; Val= 0/15
 Epoch     15/   200; Mu= 1.E-01; Perform= 4.832E+00 1.905E+01 / 6.246E+00 2.136E+01 meV; Val= 0/15
 Epoch     16/   200; Mu= 1.E-01; Perform= 4.791E+00 1.889E+01 / 6.226E+00 2.057E+01 meV; Val= 0/15
 Epoch     17/   200; Mu= 1.E-01; Perform= 4.750E+00 1.877E+01 / 6.244E+00 2.006E+01 meV; Val= 1/15
 Epoch     18/   200; Mu= 1.E-01; Perform= 4.711E+00 1.863E+01 / 6.293E+00 1.976E+01 meV; Val= 2/15
 Epoch     19/   200; Mu= 1.E-01; Perform= 4.673E+00 1.847E+01 / 6.373E+00 1.960E+01 meV; Val= 3/15
 Epoch     20/   200; Mu= 1.E-01; Perform= 4.638E+00 1.829E+01 / 6.471E+00 1.958E+01 meV; Val= 4/15
 Epoch     21/   200; Mu= 1.E-01; Perform= 4.607E+00 1.812E+01 / 6.568E+00 1.953E+01 meV; Val= 5/15
 Epoch     22/   200; Mu= 1.E-01; Perform= 4.580E+00 1.795E+01 / 6.647E+00 1.942E+01 meV; Val= 6/15
 Epoch     23/   200; Mu= 1.E-01; Perform= 4.557E+00 1.779E+01 / 6.714E+00 1.931E+01 meV; Val= 7/15
 Epoch     24/   200; Mu= 1.E-01; Perform= 4.537E+00 1.764E+01 / 6.777E+00 1.929E+01 meV; Val= 8/15
 Epoch     25/   200; Mu= 1.E-01; Perform= 4.518E+00 1.751E+01 / 6.841E+00 1.939E+01 meV; Val= 9/15
 Epoch     26/   200; Mu= 1.E-01; Perform= 4.500E+00 1.739E+01 / 6.905E+00 1.963E+01 meV; Val=10/15
 Epoch     27/   200; Mu= 1.E-01; Perform= 4.484E+00 1.728E+01 / 6.967E+00 2.006E+01 meV; Val=11/15
 Epoch     28/   200; Mu= 1.E-01; Perform= 4.468E+00 1.718E+01 / 7.025E+00 2.066E+01 meV; Val=12/15
 Epoch     29/   200; Mu= 1.E-01; Perform= 4.454E+00 1.709E+01 / 7.079E+00 2.141E+01 meV; Val=13/15
 Epoch     30/   200; Mu= 1.E-01; Perform= 4.440E+00 1.701E+01 / 7.128E+00 2.230E+01 meV; Val=14/15
